blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas07.wav	1395135016.35554	1395135017.18259
-1	a	XF_PercGlas05.wav	1395135017.18359	1395135017.92363
-1	a	XF_PercGlas01.wav	1395135017.92363	1395135018.65867
-1	a	XF_PercGlas03.wav	1395135018.65967	1395135019.38871
-1	a	XF_PercGlas06.wav	1395135019.38871	1395135020.11575
-1	a	XF_PercGlas04.wav	1395135020.11575	1395135020.8558
-1	a	XF_PercGlas02.wav	1395135020.8558	1395135021.57284
1	e	XF_PercGlas32.wav	1395135032.62947	1395135033.36051
1	e	XF_PercGlas33.wav	1395135033.36051	1395135034.10255
1	e	XF_PercGlas34.wav	1395135034.10255	1395135034.8566
1	e	XF_PercGlas31.wav	1395135034.8566	1395135035.57464
2	ccc	XF_PercGlas19.wav	1395135041.32097	1395135042.06601
2	ccc	XF_PercGlas20.wav	1395135042.06601	1395135042.79705
2	ccc	XF_PercGlas17.wav	1395135042.79705	1395135043.53309
2	ccc	XF_PercGlas18.wav	1395135043.53309	1395135044.26113
2	ccc	XF_PercGlas16.wav	1395135044.26113	1395135044.99518
2	ccc	XF_PercGlas21.wav	1395135044.99518	1395135045.73422
2	ccc	XF_PercGlas15.wav	1395135045.73422	1395135046.45526
3	bb	XF_PercGlas12.wav	1395135051.92857	1395135052.67562
3	bb	XF_PercGlas13.wav	1395135052.67562	1395135053.41466
3	bb	XF_PercGlas10.wav	1395135053.41566	1395135054.1537
3	bb	XF_PercGlas11.wav	1395135054.1537	1395135054.89074
3	bb	XF_PercGlas09.wav	1395135054.89074	1395135055.63778
3	bb	XF_PercGlas14.wav	1395135055.63778	1395135056.36883
3	bb	XF_PercGlas08.wav	1395135056.36983	1395135057.08587
4	a	XF_PercGlas05.wav	1395135063.50823	1395135064.22128
4	a	XF_PercGlas06.wav	1395135064.22128	1395135064.93332
4	a	XF_PercGlas03.wav	1395135064.93332	1395135065.64636
4	a	XF_PercGlas04.wav	1395135065.64636	1395135066.3594
4	a	XF_PercGlas02.wav	1395135066.3594	1395135067.07244
4	a	XF_PercGlas07.wav	1395135067.07344	1395135067.78548
4	a	XF_PercGlas01.wav	1395135067.78548	1395135068.48552
5	dddd	XF_PercGlas28.wav	1395135074.03184	1395135074.74488
5	dddd	XF_PercGlas24.wav	1395135074.74488	1395135075.45592
5	dddd	XF_PercGlas25.wav	1395135075.45592	1395135076.16896
5	dddd	XF_PercGlas29.wav	1395135076.16896	1395135076.881
5	dddd	XF_PercGlas26.wav	1395135076.881	1395135077.59404
5	dddd	XF_PercGlas27.wav	1395135077.59504	1395135078.30708
5	dddd	XF_PercGlas23.wav	1395135078.30708	1395135079.02012
5	dddd	XF_PercGlas30.wav	1395135079.02012	1395135079.73416
5	dddd	XF_PercGlas22.wav	1395135079.73416	1395135080.4352
