blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas03.wav	1399476033.29646	1399476036.70647
-1	a	XF_PercGlas07.wav	1399476038.84367	1399476040.64727
-1	a	XF_PercGlas04.wav	1399476041.33728	1399476042.75728
-1	a	XF_PercGlas02.wav	1399476043.29728	1399476044.71488
-1	a	XF_PercGlas01.wav	1399476045.26088	1399476046.97248
-1	a	XF_PercGlas06.wav	1399476046.97248	1399476047.69529
-1	a	XF_PercGlas05.wav	1399476047.69529	1399476048.40409
1	a	XF_PercGlas03.wav	1399476209.40284	1399476210.12044
1	a	XF_PercGlas07.wav	1399476210.12044	1399476210.83484
