blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas02.wav	1399474586.25076	1399474586.96076
-1	a	XF_PercGlas04.wav	1399474586.96076	1399474587.67076
-1	a	XF_PercGlas05.wav	1399474587.67076	1399474588.38077
-1	a	XF_PercGlas03.wav	1399474588.38077	1399474589.09077
-1	a	XF_PercGlas06.wav	1399474589.09077	1399474589.80077
-1	a	XF_PercGlas01.wav	1399474589.80077	1399474590.51077
-1	a	XF_PercGlas07.wav	1399474590.51077	1399474591.21077
1	dddd	XF_PercGlas24.wav	1399474637.38083	1399474638.09084
1	dddd	XF_PercGlas25.wav	1399474638.09084	1399474638.80084
1	dddd	XF_PercGlas28.wav	1399474638.80084	1399474639.51084
1	dddd	XF_PercGlas27.wav	1399474639.51084	1399474640.22084
1	dddd	XF_PercGlas23.wav	1399474640.22084	1399474640.93084
1	dddd	XF_PercGlas26.wav	1399474640.93084	1399474641.64084
1	dddd	XF_PercGlas29.wav	1399474641.64084	1399474642.35084
1	dddd	XF_PercGlas22.wav	1399474642.35084	1399474643.06084
1	dddd	XF_PercGlas30.wav	1399474643.06084	1399474643.76084
2	e	XF_PercGlas32.wav	1399474675.82089	1399474676.53089
2	e	XF_PercGlas33.wav	1399474676.53089	1399474677.24089
2	e	XF_PercGlas31.wav	1399474677.24089	1399474677.95089
2	e	XF_PercGlas34.wav	1399474677.95089	1399474678.65089
