blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas01.wav	1399470447.68041	1399470448.41441
-1	a	XF_PercGlas06.wav	1399470448.41441	1399470449.12761
-1	a	XF_PercGlas07.wav	1399470449.12761	1399470449.83981
-1	a	XF_PercGlas03.wav	1399470449.83981	1399470450.55261
-1	a	XF_PercGlas05.wav	1399470450.55261	1399470451.26701
-1	a	XF_PercGlas04.wav	1399470451.26701	1399470451.98022
-1	a	XF_PercGlas02.wav	1399470451.98022	1399470452.68342
1	ccc	XF_PercGlas15.wav	1399470576.37445	1399470577.10565
1	ccc	XF_PercGlas20.wav	1399470577.10565	1399470577.83285
1	ccc	XF_PercGlas21.wav	1399470577.83285	1399470578.59526
1	ccc	XF_PercGlas17.wav	1399470578.59526	1399470579.33326
1	ccc	XF_PercGlas19.wav	1399470579.33326	1399470580.05086
1	ccc	XF_PercGlas18.wav	1399470580.05086	1399470580.77166
1	ccc	XF_PercGlas16.wav	1399470580.77166	1399470581.50846
