blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas05.wav	1399470770.04306	1399470770.76226
-1	a	XF_PercGlas03.wav	1399470770.76226	1399470771.46626
-1	a	XF_PercGlas07.wav	1399470771.46626	1399470772.18066
-1	a	XF_PercGlas01.wav	1399470772.18066	1399470772.89946
-1	a	XF_PercGlas06.wav	1399470772.89946	1399470773.61266
-1	a	XF_PercGlas04.wav	1399470773.61266	1399470774.33586
-1	a	XF_PercGlas02.wav	1399470774.33586	1399470775.03906
1	dddd	XF_PercGlas22.wav	1399470799.2139	1399470799.96391
1	dddd	XF_PercGlas27.wav	1399470799.96391	1399470800.69391
1	dddd	XF_PercGlas23.wav	1399470800.69391	1399470801.42391
1	dddd	XF_PercGlas30.wav	1399470801.42391	1399470802.15391
1	dddd	XF_PercGlas25.wav	1399470802.15391	1399470802.87391
1	dddd	XF_PercGlas29.wav	1399470802.87391	1399470803.58391
1	dddd	XF_PercGlas28.wav	1399470803.58391	1399470804.31391
1	dddd	XF_PercGlas24.wav	1399470804.31391	1399470805.04391
1	dddd	XF_PercGlas26.wav	1399470805.04391	1399470805.74391
2	ccc	XF_PercGlas15.wav	1399470814.49393	1399470815.20393
2	ccc	XF_PercGlas21.wav	1399470815.20393	1399470815.91393
2	ccc	XF_PercGlas17.wav	1399470815.91393	1399470816.62393
2	ccc	XF_PercGlas20.wav	1399470816.62393	1399470817.33393
2	ccc	XF_PercGlas19.wav	1399470817.33393	1399470818.04393
2	ccc	XF_PercGlas16.wav	1399470818.04393	1399470818.75393
2	ccc	XF_PercGlas18.wav	1399470818.75393	1399470819.45393
3	a	XF_PercGlas01.wav	1399470829.51395	1399470830.22395
3	a	XF_PercGlas07.wav	1399470830.22395	1399470830.93395
3	a	XF_PercGlas03.wav	1399470830.93395	1399470831.64395
3	a	XF_PercGlas06.wav	1399470831.64395	1399470832.35395
3	a	XF_PercGlas05.wav	1399470832.35395	1399470833.06395
3	a	XF_PercGlas02.wav	1399470833.06395	1399470833.78395
3	a	XF_PercGlas04.wav	1399470833.78395	1399470834.48395
4	bb	XF_PercGlas08.wav	1399470840.70396	1399470841.43396
4	bb	XF_PercGlas14.wav	1399470841.43396	1399470842.16396
4	bb	XF_PercGlas10.wav	1399470842.16396	1399470842.89397
4	bb	XF_PercGlas13.wav	1399470842.89397	1399470843.62397
4	bb	XF_PercGlas12.wav	1399470843.62397	1399470844.33397
4	bb	XF_PercGlas09.wav	1399470844.33397	1399470845.06897
4	bb	XF_PercGlas11.wav	1399470845.06897	1399470845.80797
5	e	XF_PercGlas34.wav	1399470865.55802	1399470866.28802
5	e	XF_PercGlas32.wav	1399470866.28802	1399470867.01802
5	e	XF_PercGlas31.wav	1399470867.01802	1399470867.73803
5	e	XF_PercGlas33.wav	1399470867.73803	1399470868.45803
