blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas05.wav	1399476380.39478	1399476381.10758
-1	a	XF_PercGlas07.wav	1399476381.10758	1399476381.82078
-1	a	XF_PercGlas03.wav	1399476381.82078	1399476382.53358
-1	a	XF_PercGlas06.wav	1399476382.53358	1399476383.24358
-1	a	XF_PercGlas01.wav	1399476383.24358	1399476383.95679
-1	a	XF_PercGlas02.wav	1399476383.95679	1399476384.66999
-1	a	XF_PercGlas04.wav	1399476384.66999	1399476385.37319
1	e	XF_PercGlas32.wav	1399476406.37842	1399476407.09243
1	e	XF_PercGlas34.wav	1399476407.09243	1399476407.80363
1	e	XF_PercGlas31.wav	1399476407.80363	1399476408.51483
1	e	XF_PercGlas33.wav	1399476408.51483	1399476409.22723
2	dddd	XF_PercGlas29.wav	1399476424.40606	1399476425.11566
2	dddd	XF_PercGlas26.wav	1399476425.11566	1399476425.81606
2	dddd	XF_PercGlas28.wav	1399476425.81606	1399476426.52366
2	dddd	XF_PercGlas30.wav	1399476426.52366	1399476427.23206
2	dddd	XF_PercGlas25.wav	1399476427.23206	1399476427.93846
2	dddd	XF_PercGlas24.wav	1399476427.93846	1399476428.65006
2	dddd	XF_PercGlas22.wav	1399476428.65006	1399476429.36167
2	dddd	XF_PercGlas23.wav	1399476429.36167	1399476430.06207
2	dddd	XF_PercGlas27.wav	1399476430.06207	1399476430.77607
3	ccc	XF_PercGlas19.wav	1399476443.58369	1399476444.28769
3	ccc	XF_PercGlas21.wav	1399476444.28769	1399476444.98969
3	ccc	XF_PercGlas17.wav	1399476444.98969	1399476445.69089
3	ccc	XF_PercGlas20.wav	1399476445.69089	1399476446.39729
3	ccc	XF_PercGlas15.wav	1399476446.39729	1399476447.1117
