blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas05.wav	1399471760.87889	1399471761.59889
-1	a	XF_PercGlas03.wav	1399471761.59889	1399471762.31889
-1	a	XF_PercGlas06.wav	1399471762.31889	1399471763.03889
-1	a	XF_PercGlas01.wav	1399471763.03889	1399471763.74889
-1	a	XF_PercGlas04.wav	1399471763.74889	1399471764.45889
-1	a	XF_PercGlas02.wav	1399471764.45889	1399471765.16889
-1	a	XF_PercGlas07.wav	1399471765.16889	1399471765.8689
1	bb	XF_PercGlas12.wav	1399471776.14891	1399471776.85891
1	bb	XF_PercGlas10.wav	1399471776.85891	1399471777.56891
1	bb	XF_PercGlas13.wav	1399471777.56891	1399471778.27891
1	bb	XF_PercGlas08.wav	1399471778.27891	1399471778.98891
1	bb	XF_PercGlas11.wav	1399471778.98891	1399471779.69891
1	bb	XF_PercGlas09.wav	1399471779.69891	1399471780.40892
1	bb	XF_PercGlas14.wav	1399471780.40892	1399471781.10892
2	dddd	XF_PercGlas26.wav	1399471787.89893	1399471788.60893
2	dddd	XF_PercGlas28.wav	1399471788.60893	1399471789.31893
2	dddd	XF_PercGlas30.wav	1399471789.31893	1399471790.02893
2	dddd	XF_PercGlas25.wav	1399471790.02893	1399471790.73893
2	dddd	XF_PercGlas24.wav	1399471790.73893	1399471791.44893
2	dddd	XF_PercGlas22.wav	1399471791.44893	1399471792.15893
2	dddd	XF_PercGlas27.wav	1399471792.15893	1399471792.86893
2	dddd	XF_PercGlas23.wav	1399471792.86893	1399471793.57893
2	dddd	XF_PercGlas29.wav	1399471793.57893	1399471794.27894
3	e	XF_PercGlas33.wav	1399471802.47895	1399471803.18895
3	e	XF_PercGlas32.wav	1399471803.18895	1399471803.89895
3	e	XF_PercGlas31.wav	1399471803.89895	1399471804.60895
3	e	XF_PercGlas34.wav	1399471804.60895	1399471805.30895
4	ccc	XF_PercGlas19.wav	1399471815.04896	1399471815.75897
4	ccc	XF_PercGlas17.wav	1399471815.75897	1399471816.46897
4	ccc	XF_PercGlas20.wav	1399471816.46897	1399471817.17897
4	ccc	XF_PercGlas15.wav	1399471817.17897	1399471817.88897
4	ccc	XF_PercGlas18.wav	1399471817.88897	1399471818.59897
4	ccc	XF_PercGlas16.wav	1399471818.59897	1399471819.30897
4	ccc	XF_PercGlas21.wav	1399471819.30897	1399471820.00897
5	a	XF_PercGlas05.wav	1399471827.21898	1399471827.92898
5	a	XF_PercGlas03.wav	1399471827.92898	1399471828.63898
5	a	XF_PercGlas06.wav	1399471828.63898	1399471829.34898
5	a	XF_PercGlas01.wav	1399471829.34898	1399471830.05899
5	a	XF_PercGlas04.wav	1399471830.05899	1399471830.76899
5	a	XF_PercGlas02.wav	1399471830.76899	1399471831.47899
5	a	XF_PercGlas07.wav	1399471831.47899	1399471832.17899
