blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas03.wav	1399475058.82621	1399475059.53622
-1	a	XF_PercGlas06.wav	1399475059.53622	1399475060.24622
-1	a	XF_PercGlas04.wav	1399475060.24622	1399475060.95622
-1	a	XF_PercGlas05.wav	1399475060.95622	1399475061.66622
-1	a	XF_PercGlas02.wav	1399475061.66622	1399475062.37622
-1	a	XF_PercGlas07.wav	1399475062.37622	1399475063.08622
-1	a	XF_PercGlas01.wav	1399475063.08622	1399475063.78622
1	dddd	XF_PercGlas22.wav	1399475135.10335	1399475135.82335
1	dddd	XF_PercGlas24.wav	1399475135.82335	1399475136.54335
1	dddd	XF_PercGlas27.wav	1399475136.54335	1399475137.26335
1	dddd	XF_PercGlas26.wav	1399475137.26335	1399475137.98335
1	dddd	XF_PercGlas23.wav	1399475137.98335	1399475138.70335
1	dddd	XF_PercGlas30.wav	1399475138.70335	1399475139.42335
1	dddd	XF_PercGlas28.wav	1399475139.42335	1399475140.14335
1	dddd	XF_PercGlas25.wav	1399475140.14335	1399475140.86335
1	dddd	XF_PercGlas29.wav	1399475140.86335	1399475141.56335
2	e	XF_PercGlas31.wav	1399475149.76337	1399475150.48337
2	e	XF_PercGlas33.wav	1399475150.48337	1399475151.20337
2	e	XF_PercGlas32.wav	1399475151.20337	1399475151.92337
2	e	XF_PercGlas34.wav	1399475151.92337	1399475152.62337
3	bb	XF_PercGlas11.wav	1399475171.0234	1399475171.7534
3	bb	XF_PercGlas08.wav	1399475171.7534	1399475172.4734
3	bb	XF_PercGlas09.wav	1399475172.4734	1399475173.1934
3	bb	XF_PercGlas13.wav	1399475173.1934	1399475173.9134
3	bb	XF_PercGlas12.wav	1399475173.9134	1399475174.6334
3	bb	XF_PercGlas10.wav	1399475174.6334	1399475175.3534
3	bb	XF_PercGlas14.wav	1399475175.3534	1399475176.0534
4	ccc	XF_PercGlas18.wav	1399475183.91341	1399475184.63341
4	ccc	XF_PercGlas15.wav	1399475184.63341	1399475185.35342
4	ccc	XF_PercGlas16.wav	1399475185.35342	1399475186.07342
4	ccc	XF_PercGlas20.wav	1399475186.07342	1399475186.79342
4	ccc	XF_PercGlas19.wav	1399475186.79342	1399475187.51342
4	ccc	XF_PercGlas17.wav	1399475187.51342	1399475188.23342
4	ccc	XF_PercGlas21.wav	1399475188.23342	1399475188.93342
5	a	XF_PercGlas04.wav	1399475195.18543	1399475195.90543
5	a	XF_PercGlas01.wav	1399475195.90543	1399475196.62544
5	a	XF_PercGlas02.wav	1399475196.62544	1399475197.34544
5	a	XF_PercGlas06.wav	1399475197.34544	1399475198.06544
5	a	XF_PercGlas05.wav	1399475198.06544	1399475198.78744
5	a	XF_PercGlas03.wav	1399475198.78744	1399475199.52844
5	a	XF_PercGlas07.wav	1399475199.52944	1399475200.24546
