blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399658110.53529	1399658111.11249	1399658113.4897	None
1	1399658121.96692	1399658123.04332	1399658125.96372	1399658127.56652
2	1399658128.62733	1399658129.68813	1399658131.97653	1399658133.31893
3	1399658134.37974	1399658135.44054	1399658137.72894	1399658138.69254
1	1399658139.75335	1399658140.82975	1399658143.11615	1399658143.93615
2	1399658144.98776	1399658146.04856	1399658148.33936	1399658149.41576
3	1399658150.47657	1399658151.53737	1399658154.45217	1399658155.28857
1	1399658156.34938	1399658157.41018	1399658159.71658	1399658160.74658
2	1399658161.79859	1399658162.85939	1399658165.15699	1399658165.94019
3	1399658166.98539	1399658168.0462	1399658170.961	1399658171.8606
1	1399658172.92141	1399658173.98221	1399658176.27061	1399658177.19621
2	1399658178.24141	1399658179.30222	1399658181.59062	1399658182.63542
3	1399658183.68062	1399658184.74143	1399658187.67183	1399658188.73503
