blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399658113.6297	1399658114.9469	7	1399658115.1029	1399658115.1029	8	1399658115.2745	1399658115.2745	7
1	1399658126.07372	1399658127.22332	7	1399658127.31692	1399658127.37932	8	1399658127.45732	1399658127.50412	7
2	1399658132.08653	1399658132.99133	7	1399658133.08493	1399658133.13173	8	1399658133.22533	1399658133.24093	7
3	1399658137.85014	1399658138.33374	7	1399658138.42734	1399658138.48974	8	1399658138.58334	1399658138.58334	7
1	1399658143.22615	1399658143.63615	7	1399658143.72615	1399658143.75615	8	1399658143.84615	1399658143.87615	7
2	1399658148.46416	1399658149.08816	7	1399658149.16616	1399658149.24416	8	1399658149.32216	1399658149.35336	7
3	1399658154.57217	1399658154.96097	7	1399658155.05457	1399658155.11697	8	1399658155.19497	1399658155.22617	7
1	1399658159.82658	1399658160.35658	7	1399658160.43658	1399658160.54658	8	1399658160.63658	1399658160.63658	7
2	1399658165.28499	1399658165.59699	7	1399658165.67499	1399658165.76859	8	1399658165.86219	1399658165.87779	7
3	1399658171.071	1399658171.4706	7	1399658171.5486	1399658171.6422	8	1399658171.7202	1399658171.7826	7
1	1399658176.38061	1399658176.80621	7	1399658176.89981	1399658176.97781	8	1399658177.05581	1399658177.13381	7
2	1399658181.70062	1399658182.26062	7	1399658182.35062	1399658182.46062	8	1399658182.54182	1399658182.57302	7
3	1399658187.78183	1399658188.31383	7	1399658188.40743	1399658188.51663	8	1399658188.61023	1399658188.67263	7
