blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas03.wav	1399658111.23729	1399658111.5545
-1	a	XF_PercGlas05.wav	1399658111.5645	1399658111.8777
-1	a	XF_PercGlas07.wav	1399658111.8777	1399658112.2009
-1	a	XF_PercGlas04.wav	1399658112.2009	1399658112.5297
-1	a	XF_PercGlas06.wav	1399658112.5297	1399658112.8585
-1	a	XF_PercGlas02.wav	1399658112.8585	1399658113.1853
-1	a	XF_PercGlas01.wav	1399658113.1853	1399658113.4897
1	dddd	XF_PercGlas26.wav	1399658123.15252	1399658123.46812
1	dddd	XF_PercGlas28.wav	1399658123.46812	1399658123.78132
1	dddd	XF_PercGlas25.wav	1399658123.78132	1399658124.09452
1	dddd	XF_PercGlas24.wav	1399658124.09452	1399658124.40772
1	dddd	XF_PercGlas30.wav	1399658124.40772	1399658124.72092
1	dddd	XF_PercGlas27.wav	1399658124.72092	1399658125.03412
1	dddd	XF_PercGlas29.wav	1399658125.03412	1399658125.34732
1	dddd	XF_PercGlas23.wav	1399658125.34732	1399658125.66052
1	dddd	XF_PercGlas22.wav	1399658125.66052	1399658125.96372
2	ccc	XF_PercGlas17.wav	1399658129.79733	1399658130.10733
2	ccc	XF_PercGlas19.wav	1399658130.10733	1399658130.42053
2	ccc	XF_PercGlas21.wav	1399658130.42053	1399658130.73373
2	ccc	XF_PercGlas18.wav	1399658130.73373	1399658131.04693
2	ccc	XF_PercGlas20.wav	1399658131.04693	1399658131.36013
2	ccc	XF_PercGlas16.wav	1399658131.36013	1399658131.67333
2	ccc	XF_PercGlas15.wav	1399658131.67333	1399658131.97653
3	bb	XF_PercGlas10.wav	1399658135.54974	1399658135.85974
3	bb	XF_PercGlas12.wav	1399658135.85974	1399658136.17294
3	bb	XF_PercGlas14.wav	1399658136.17294	1399658136.48614
3	bb	XF_PercGlas11.wav	1399658136.48614	1399658136.79934
3	bb	XF_PercGlas13.wav	1399658136.79934	1399658137.11254
3	bb	XF_PercGlas09.wav	1399658137.11254	1399658137.42574
3	bb	XF_PercGlas08.wav	1399658137.42574	1399658137.72894
1	bb	XF_PercGlas11.wav	1399658140.93895	1399658141.24895
1	bb	XF_PercGlas14.wav	1399658141.24895	1399658141.56215
1	bb	XF_PercGlas12.wav	1399658141.56215	1399658141.87535
1	bb	XF_PercGlas08.wav	1399658141.87535	1399658142.18855
1	bb	XF_PercGlas09.wav	1399658142.18855	1399658142.50175
1	bb	XF_PercGlas13.wav	1399658142.50175	1399658142.81295
1	bb	XF_PercGlas10.wav	1399658142.81295	1399658143.11615
2	ccc	XF_PercGlas18.wav	1399658146.15776	1399658146.46776
2	ccc	XF_PercGlas21.wav	1399658146.46776	1399658146.78096
2	ccc	XF_PercGlas19.wav	1399658146.78096	1399658147.09416
2	ccc	XF_PercGlas15.wav	1399658147.09416	1399658147.40736
2	ccc	XF_PercGlas16.wav	1399658147.40736	1399658147.71616
2	ccc	XF_PercGlas20.wav	1399658147.71616	1399658148.03056
2	ccc	XF_PercGlas17.wav	1399658148.03056	1399658148.33936
3	dddd	XF_PercGlas30.wav	1399658151.64657	1399658151.95657
3	dddd	XF_PercGlas27.wav	1399658151.95657	1399658152.26977
3	dddd	XF_PercGlas24.wav	1399658152.26977	1399658152.58297
3	dddd	XF_PercGlas25.wav	1399658152.58297	1399658152.89617
3	dddd	XF_PercGlas22.wav	1399658152.89617	1399658153.20937
3	dddd	XF_PercGlas26.wav	1399658153.20937	1399658153.52257
3	dddd	XF_PercGlas23.wav	1399658153.52257	1399658153.83577
3	dddd	XF_PercGlas29.wav	1399658153.83577	1399658154.14897
3	dddd	XF_PercGlas28.wav	1399658154.14897	1399658154.45217
1	bb	XF_PercGlas10.wav	1399658157.53498	1399658157.84738
1	bb	XF_PercGlas14.wav	1399658157.84738	1399658158.16058
1	bb	XF_PercGlas13.wav	1399658158.16058	1399658158.47378
1	bb	XF_PercGlas11.wav	1399658158.47378	1399658158.78698
1	bb	XF_PercGlas08.wav	1399658158.78698	1399658159.10018
1	bb	XF_PercGlas12.wav	1399658159.10018	1399658159.41338
1	bb	XF_PercGlas09.wav	1399658159.41338	1399658159.71658
2	ccc	XF_PercGlas17.wav	1399658162.96859	1399658163.28659
2	ccc	XF_PercGlas21.wav	1399658163.28659	1399658163.60099
2	ccc	XF_PercGlas20.wav	1399658163.60099	1399658163.91419
2	ccc	XF_PercGlas18.wav	1399658163.91419	1399658164.22739
2	ccc	XF_PercGlas15.wav	1399658164.22739	1399658164.54059
2	ccc	XF_PercGlas19.wav	1399658164.54059	1399658164.85379
2	ccc	XF_PercGlas16.wav	1399658164.85379	1399658165.15699
3	dddd	XF_PercGlas24.wav	1399658168.1554	1399658168.4654
3	dddd	XF_PercGlas28.wav	1399658168.4654	1399658168.7786
3	dddd	XF_PercGlas26.wav	1399658168.7786	1399658169.0918
3	dddd	XF_PercGlas30.wav	1399658169.0918	1399658169.405
3	dddd	XF_PercGlas29.wav	1399658169.405	1399658169.7182
3	dddd	XF_PercGlas27.wav	1399658169.7182	1399658170.0314
3	dddd	XF_PercGlas22.wav	1399658170.0314	1399658170.3446
3	dddd	XF_PercGlas25.wav	1399658170.3446	1399658170.6578
3	dddd	XF_PercGlas23.wav	1399658170.6578	1399658170.961
1	bb	XF_PercGlas13.wav	1399658174.09141	1399658174.40141
1	bb	XF_PercGlas11.wav	1399658174.40141	1399658174.71461
1	bb	XF_PercGlas12.wav	1399658174.71461	1399658175.02781
1	bb	XF_PercGlas10.wav	1399658175.02781	1399658175.34101
1	bb	XF_PercGlas09.wav	1399658175.34101	1399658175.65421
1	bb	XF_PercGlas14.wav	1399658175.65421	1399658175.96741
1	bb	XF_PercGlas08.wav	1399658175.96741	1399658176.27061
2	ccc	XF_PercGlas20.wav	1399658179.41142	1399658179.72142
2	ccc	XF_PercGlas18.wav	1399658179.72142	1399658180.03462
2	ccc	XF_PercGlas19.wav	1399658180.03462	1399658180.34782
2	ccc	XF_PercGlas17.wav	1399658180.34782	1399658180.66102
2	ccc	XF_PercGlas16.wav	1399658180.66102	1399658180.97422
2	ccc	XF_PercGlas21.wav	1399658180.97422	1399658181.28742
2	ccc	XF_PercGlas15.wav	1399658181.28742	1399658181.59062
3	dddd	XF_PercGlas29.wav	1399658184.86623	1399658185.17623
3	dddd	XF_PercGlas22.wav	1399658185.17623	1399658185.48943
3	dddd	XF_PercGlas27.wav	1399658185.48943	1399658185.80263
3	dddd	XF_PercGlas30.wav	1399658185.80263	1399658186.11583
3	dddd	XF_PercGlas28.wav	1399658186.11583	1399658186.42903
3	dddd	XF_PercGlas26.wav	1399658186.42903	1399658186.74223
3	dddd	XF_PercGlas24.wav	1399658186.74223	1399658187.05543
3	dddd	XF_PercGlas25.wav	1399658187.05543	1399658187.36863
3	dddd	XF_PercGlas23.wav	1399658187.36863	1399658187.67183
