blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas05.wav	1399648191.80508	1399648192.53429
-1	a	XF_PercGlas06.wav	1399648192.53429	1399648193.24749
-1	a	XF_PercGlas07.wav	1399648193.24749	1399648193.96069
-1	a	XF_PercGlas02.wav	1399648193.96069	1399648194.67389
-1	a	XF_PercGlas04.wav	1399648194.67389	1399648195.38709
-1	a	XF_PercGlas03.wav	1399648195.38709	1399648196.10109
-1	a	XF_PercGlas01.wav	1399648196.10109	1399648196.82549
1	a	XF_PercGlas05.wav	1399648231.31715	1399648232.02715
1	a	XF_PercGlas06.wav	1399648232.02715	1399648232.74036
1	a	XF_PercGlas07.wav	1399648232.74036	1399648233.45356
1	a	XF_PercGlas02.wav	1399648233.45356	1399648234.16676
1	a	XF_PercGlas04.wav	1399648234.16676	1399648234.87996
1	a	XF_PercGlas03.wav	1399648234.87996	1399648235.58956
1	a	XF_PercGlas01.wav	1399648235.58956	1399648236.29396
2	dddd	XF_PercGlas27.wav	1399648243.42197	1399648244.12598
2	dddd	XF_PercGlas25.wav	1399648244.12598	1399648244.83238
2	dddd	XF_PercGlas28.wav	1399648244.83238	1399648245.54758
2	dddd	XF_PercGlas23.wav	1399648245.54758	1399648246.24798
2	dddd	XF_PercGlas30.wav	1399648246.24798	1399648246.96198
2	dddd	XF_PercGlas29.wav	1399648246.96198	1399648247.66598
2	dddd	XF_PercGlas26.wav	1399648247.66598	1399648248.36638
2	dddd	XF_PercGlas24.wav	1399648248.36638	1399648249.06798
2	dddd	XF_PercGlas22.wav	1399648249.06798	1399648249.76838
3	bb	XF_PercGlas12.wav	1399648257.272	1399648257.9876
3	bb	XF_PercGlas13.wav	1399648257.9876	1399648258.7008
3	bb	XF_PercGlas14.wav	1399648258.7008	1399648259.414
3	bb	XF_PercGlas09.wav	1399648259.414	1399648260.1272
3	bb	XF_PercGlas11.wav	1399648260.1272	1399648260.8384
3	bb	XF_PercGlas10.wav	1399648260.8384	1399648261.5528
3	bb	XF_PercGlas08.wav	1399648261.5528	1399648262.26681
4	e	XF_PercGlas34.wav	1399648270.17602	1399648270.88162
4	e	XF_PercGlas33.wav	1399648270.88162	1399648271.59402
4	e	XF_PercGlas32.wav	1399648271.59402	1399648272.30242
4	e	XF_PercGlas31.wav	1399648272.30242	1399648273.01362
5	ccc	XF_PercGlas19.wav	1399648309.43969	1399648310.15369
5	ccc	XF_PercGlas20.wav	1399648310.15369	1399648310.85889
5	ccc	XF_PercGlas21.wav	1399648310.85889	1399648311.56849
5	ccc	XF_PercGlas16.wav	1399648311.56849	1399648312.27609
5	ccc	XF_PercGlas18.wav	1399648312.27609	1399648312.98449
5	ccc	XF_PercGlas17.wav	1399648312.98449	1399648313.7045
5	ccc	XF_PercGlas15.wav	1399648313.7045	1399648314.4133
