blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas06.wav	1399656301.12583	1399656301.85623
-1	a	XF_PercGlas04.wav	1399656301.85623	1399656302.57503
-1	a	XF_PercGlas07.wav	1399656302.57503	1399656303.28823
-1	a	XF_PercGlas05.wav	1399656303.28823	1399656304.00143
-1	a	XF_PercGlas02.wav	1399656304.00143	1399656304.71463
-1	a	XF_PercGlas03.wav	1399656304.71463	1399656305.42423
-1	a	XF_PercGlas01.wav	1399656305.42423	1399656306.12864
1	bb	XF_PercGlas13.wav	1399656321.07106	1399656321.78106
1	bb	XF_PercGlas11.wav	1399656321.78106	1399656322.48346
1	bb	XF_PercGlas14.wav	1399656322.48346	1399656323.19787
1	bb	XF_PercGlas12.wav	1399656323.19787	1399656323.91107
1	bb	XF_PercGlas09.wav	1399656323.91107	1399656324.62427
1	bb	XF_PercGlas10.wav	1399656324.62427	1399656325.33747
1	bb	XF_PercGlas08.wav	1399656325.33747	1399656326.04947
2	ccc	XF_PercGlas20.wav	1399656335.65909	1399656336.36309
2	ccc	XF_PercGlas18.wav	1399656336.36309	1399656337.07029
2	ccc	XF_PercGlas21.wav	1399656337.07029	1399656337.77549
2	ccc	XF_PercGlas19.wav	1399656337.77549	1399656338.48509
2	ccc	XF_PercGlas16.wav	1399656338.48509	1399656339.19269
2	ccc	XF_PercGlas17.wav	1399656339.19269	1399656339.89269
2	ccc	XF_PercGlas15.wav	1399656339.89269	1399656340.5971
3	dddd	XF_PercGlas28.wav	1399656375.76716	1399656376.46916
3	dddd	XF_PercGlas29.wav	1399656376.46916	1399656377.17876
3	dddd	XF_PercGlas26.wav	1399656377.17876	1399656377.88356
3	dddd	XF_PercGlas27.wav	1399656377.88356	1399656378.59756
3	dddd	XF_PercGlas30.wav	1399656378.59756	1399656379.30596
3	dddd	XF_PercGlas24.wav	1399656379.30596	1399656380.00956
3	dddd	XF_PercGlas23.wav	1399656380.00956	1399656380.72317
3	dddd	XF_PercGlas25.wav	1399656380.72317	1399656381.42397
3	dddd	XF_PercGlas22.wav	1399656381.42397	1399656382.12437
1	bb	XF_PercGlas13.wav	1399656403.76161	1399656404.47161
1	bb	XF_PercGlas12.wav	1399656404.47161	1399656405.18481
1	bb	XF_PercGlas11.wav	1399656405.18481	1399656405.89281
1	bb	XF_PercGlas08.wav	1399656405.89281	1399656406.60721
1	bb	XF_PercGlas09.wav	1399656406.60721	1399656407.32161
1	bb	XF_PercGlas10.wav	1399656407.32161	1399656408.03481
1	bb	XF_PercGlas14.wav	1399656408.03481	1399656408.73801
2	ccc	XF_PercGlas20.wav	1399656416.43483	1399656417.14563
2	ccc	XF_PercGlas19.wav	1399656417.14563	1399656417.84763
2	ccc	XF_PercGlas18.wav	1399656417.84763	1399656418.55603
2	ccc	XF_PercGlas15.wav	1399656418.55603	1399656419.27043
2	ccc	XF_PercGlas16.wav	1399656419.27043	1399656419.98003
2	ccc	XF_PercGlas17.wav	1399656419.98003	1399656420.68763
2	ccc	XF_PercGlas21.wav	1399656420.68763	1399656421.40084
3	dddd	XF_PercGlas28.wav	1399656431.68125	1399656432.39646
3	dddd	XF_PercGlas26.wav	1399656432.39646	1399656433.10246
3	dddd	XF_PercGlas30.wav	1399656433.10246	1399656433.81206
3	dddd	XF_PercGlas24.wav	1399656433.81206	1399656434.51926
3	dddd	XF_PercGlas29.wav	1399656434.51926	1399656435.22326
3	dddd	XF_PercGlas22.wav	1399656435.22326	1399656435.93246
3	dddd	XF_PercGlas23.wav	1399656435.93246	1399656436.63726
3	dddd	XF_PercGlas25.wav	1399656436.63726	1399656437.34806
3	dddd	XF_PercGlas27.wav	1399656437.34806	1399656438.05766
