blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas03.wav	1399656770.64851	1399656771.35971
-1	a	XF_PercGlas01.wav	1399656771.35971	1399656772.09211
-1	a	XF_PercGlas06.wav	1399656772.09211	1399656772.81091
-1	a	XF_PercGlas05.wav	1399656772.81091	1399656773.52411
-1	a	XF_PercGlas04.wav	1399656773.52411	1399656774.23731
-1	a	XF_PercGlas02.wav	1399656774.23731	1399656774.95051
-1	a	XF_PercGlas07.wav	1399656774.95051	1399656775.65371
1	dddd	XF_PercGlas30.wav	1399656792.59774	1399656793.31055
1	dddd	XF_PercGlas25.wav	1399656793.31055	1399656794.01575
1	dddd	XF_PercGlas26.wav	1399656794.01575	1399656794.71735
1	dddd	XF_PercGlas24.wav	1399656794.71735	1399656795.42455
1	dddd	XF_PercGlas23.wav	1399656795.42455	1399656796.12495
1	dddd	XF_PercGlas28.wav	1399656796.12495	1399656796.83775
1	dddd	XF_PercGlas22.wav	1399656796.83775	1399656797.55055
1	dddd	XF_PercGlas27.wav	1399656797.55055	1399656798.25455
1	dddd	XF_PercGlas29.wav	1399656798.25455	1399656798.96415
2	bb	XF_PercGlas10.wav	1399656807.68457	1399656808.39897
2	bb	XF_PercGlas08.wav	1399656808.39897	1399656809.11417
2	bb	XF_PercGlas13.wav	1399656809.11417	1399656809.82857
2	bb	XF_PercGlas12.wav	1399656809.82857	1399656810.54177
2	bb	XF_PercGlas11.wav	1399656810.54177	1399656811.25218
2	bb	XF_PercGlas09.wav	1399656811.25218	1399656811.96658
2	bb	XF_PercGlas14.wav	1399656811.96658	1399656812.66978
3	ccc	XF_PercGlas17.wav	1399656821.55339	1399656822.26339
3	ccc	XF_PercGlas15.wav	1399656822.26339	1399656822.9778
3	ccc	XF_PercGlas20.wav	1399656822.9778	1399656823.6906
3	ccc	XF_PercGlas19.wav	1399656823.6906	1399656824.3926
3	ccc	XF_PercGlas18.wav	1399656824.3926	1399656825.0978
3	ccc	XF_PercGlas16.wav	1399656825.0978	1399656825.7978
3	ccc	XF_PercGlas21.wav	1399656825.7978	1399656826.4986
