blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas02.wav	1399644885.43084	1399644886.17604
-1	a	XF_PercGlas07.wav	1399644886.17604	1399644886.90465
-1	a	XF_PercGlas05.wav	1399644886.90465	1399644887.63345
-1	a	XF_PercGlas03.wav	1399644887.63345	1399644888.35505
-1	a	XF_PercGlas04.wav	1399644888.35505	1399644889.08065
-1	a	XF_PercGlas01.wav	1399644889.08065	1399644889.80926
-1	a	XF_PercGlas06.wav	1399644889.80926	1399644890.50968
1	bb	XF_PercGlas12.wav	1399644966.30625	1399644967.04425
1	bb	XF_PercGlas13.wav	1399644967.04425	1399644968.00865
