blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas06.wav	1399657927.60174	1399657927.92454
-1	a	XF_PercGlas01.wav	1399657927.92454	1399657928.25334
-1	a	XF_PercGlas02.wav	1399657928.25334	1399657928.57214
-1	a	XF_PercGlas04.wav	1399657928.57214	1399657928.88534
-1	a	XF_PercGlas05.wav	1399657928.88534	1399657929.20414
-1	a	XF_PercGlas07.wav	1399657929.20414	1399657929.51735
-1	a	XF_PercGlas03.wav	1399657929.51735	1399657929.82055
1	bb	XF_PercGlas13.wav	1399657938.58736	1399657938.90176
1	bb	XF_PercGlas08.wav	1399657938.90176	1399657939.21496
1	bb	XF_PercGlas09.wav	1399657939.21496	1399657939.52816
1	bb	XF_PercGlas11.wav	1399657939.52816	1399657939.84136
1	bb	XF_PercGlas12.wav	1399657939.84136	1399657940.15456
1	bb	XF_PercGlas14.wav	1399657940.15456	1399657940.46776
1	bb	XF_PercGlas10.wav	1399657940.46776	1399657940.77097
2	ccc	XF_PercGlas20.wav	1399657944.95817	1399657945.27257
2	ccc	XF_PercGlas15.wav	1399657945.27257	1399657945.58577
2	ccc	XF_PercGlas16.wav	1399657945.58577	1399657945.89897
2	ccc	XF_PercGlas18.wav	1399657945.89897	1399657946.21217
2	ccc	XF_PercGlas19.wav	1399657946.21217	1399657946.52537
2	ccc	XF_PercGlas21.wav	1399657946.52537	1399657946.83858
2	ccc	XF_PercGlas17.wav	1399657946.83858	1399657947.14178
3	dddd	XF_PercGlas22.wav	1399657951.18978	1399657951.49978
3	dddd	XF_PercGlas27.wav	1399657951.49978	1399657951.80978
3	dddd	XF_PercGlas29.wav	1399657951.80978	1399657952.12298
3	dddd	XF_PercGlas23.wav	1399657952.12298	1399657952.43619
3	dddd	XF_PercGlas24.wav	1399657952.43619	1399657952.74939
3	dddd	XF_PercGlas26.wav	1399657952.74939	1399657953.06259
3	dddd	XF_PercGlas28.wav	1399657953.06259	1399657953.37579
3	dddd	XF_PercGlas30.wav	1399657953.37579	1399657953.68899
3	dddd	XF_PercGlas25.wav	1399657953.68899	1399657953.99219
