blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas07.wav	1399656917.18709	1399656917.91629
-1	a	XF_PercGlas04.wav	1399656917.91629	1399656918.62949
-1	a	XF_PercGlas02.wav	1399656918.62949	1399656919.34269
-1	a	XF_PercGlas03.wav	1399656919.34269	1399656920.05349
-1	a	XF_PercGlas01.wav	1399656920.05349	1399656920.76789
-1	a	XF_PercGlas05.wav	1399656920.76789	1399656921.4811
-1	a	XF_PercGlas06.wav	1399656921.4811	1399656922.1843
1	dddd	XF_PercGlas28.wav	1399656947.34354	1399656948.04874
1	dddd	XF_PercGlas30.wav	1399656948.04874	1399656948.75274
1	dddd	XF_PercGlas27.wav	1399656948.75274	1399656949.46674
1	dddd	XF_PercGlas25.wav	1399656949.46674	1399656950.17314
1	dddd	XF_PercGlas26.wav	1399656950.17314	1399656950.87795
1	dddd	XF_PercGlas22.wav	1399656950.87795	1399656951.58515
1	dddd	XF_PercGlas29.wav	1399656951.58515	1399656952.29035
1	dddd	XF_PercGlas24.wav	1399656952.29035	1399656953.00195
1	dddd	XF_PercGlas23.wav	1399656953.00195	1399656953.70235
2	ccc	XF_PercGlas18.wav	1399656962.04837	1399656962.75797
2	ccc	XF_PercGlas19.wav	1399656962.75797	1399656963.46557
2	ccc	XF_PercGlas20.wav	1399656963.46557	1399656964.17197
2	ccc	XF_PercGlas15.wav	1399656964.17197	1399656964.88637
2	ccc	XF_PercGlas21.wav	1399656964.88637	1399656965.59717
2	ccc	XF_PercGlas17.wav	1399656965.59717	1399656966.30837
2	ccc	XF_PercGlas16.wav	1399656966.30837	1399656967.00837
3	bb	XF_PercGlas11.wav	1399656976.66479	1399656977.37279
3	bb	XF_PercGlas12.wav	1399656977.37279	1399656978.08719
3	bb	XF_PercGlas13.wav	1399656978.08719	1399656978.80039
3	bb	XF_PercGlas08.wav	1399656978.80039	1399656979.5144
3	bb	XF_PercGlas14.wav	1399656979.5144	1399656980.2288
3	bb	XF_PercGlas10.wav	1399656980.2288	1399656980.942
3	bb	XF_PercGlas09.wav	1399656980.942	1399656981.6452
