blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas01.wav	1399656071.88205	1399656072.61126
-1	a	XF_PercGlas03.wav	1399656072.61126	1399656073.32206
-1	a	XF_PercGlas02.wav	1399656073.32206	1399656074.03646
-1	a	XF_PercGlas07.wav	1399656074.03646	1399656074.74966
-1	a	XF_PercGlas04.wav	1399656074.74966	1399656075.46286
-1	a	XF_PercGlas06.wav	1399656075.46286	1399656076.17606
-1	a	XF_PercGlas05.wav	1399656076.17606	1399656076.88486
1	ccc	XF_PercGlas15.wav	1399656095.31929	1399656096.0317
1	ccc	XF_PercGlas17.wav	1399656096.0317	1399656096.7381
1	ccc	XF_PercGlas16.wav	1399656096.7381	1399656097.4381
1	ccc	XF_PercGlas21.wav	1399656097.4381	1399656098.1501
1	ccc	XF_PercGlas18.wav	1399656098.1501	1399656098.8641
1	ccc	XF_PercGlas20.wav	1399656098.8641	1399656099.5725
1	ccc	XF_PercGlas19.wav	1399656099.5725	1399656100.2789
2	bb	XF_PercGlas08.wav	1399656108.45332	1399656109.15772
2	bb	XF_PercGlas10.wav	1399656109.15772	1399656109.87212
2	bb	XF_PercGlas09.wav	1399656109.87212	1399656110.58532
2	bb	XF_PercGlas14.wav	1399656110.58532	1399656111.29852
2	bb	XF_PercGlas11.wav	1399656111.29852	1399656112.00212
2	bb	XF_PercGlas13.wav	1399656112.00212	1399656112.71652
2	bb	XF_PercGlas12.wav	1399656112.71652	1399656113.41973
3	dddd	XF_PercGlas22.wav	1399656121.92774	1399656122.63494
3	dddd	XF_PercGlas23.wav	1399656122.63494	1399656123.33974
3	dddd	XF_PercGlas25.wav	1399656123.33974	1399656124.04814
3	dddd	XF_PercGlas30.wav	1399656124.04814	1399656124.75094
3	dddd	XF_PercGlas24.wav	1399656124.75094	1399656125.45815
3	dddd	XF_PercGlas27.wav	1399656125.45815	1399656126.16975
3	dddd	XF_PercGlas26.wav	1399656126.16975	1399656126.87015
3	dddd	XF_PercGlas29.wav	1399656126.87015	1399656127.57415
3	dddd	XF_PercGlas28.wav	1399656127.57415	1399656128.28255
