blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas03.wav	1399657764.84554	1399657765.16034
-1	a	XF_PercGlas02.wav	1399657765.16034	1399657765.47914
-1	a	XF_PercGlas04.wav	1399657765.47914	1399657765.79034
-1	a	XF_PercGlas06.wav	1399657765.79034	1399657766.10354
-1	a	XF_PercGlas01.wav	1399657766.10354	1399657766.41474
-1	a	XF_PercGlas05.wav	1399657766.41474	1399657766.73354
-1	a	XF_PercGlas07.wav	1399657766.73354	1399657767.03674
1	bb	XF_PercGlas10.wav	1399657776.52636	1399657776.83636
1	bb	XF_PercGlas09.wav	1399657776.83636	1399657777.14956
1	bb	XF_PercGlas11.wav	1399657777.14956	1399657777.46276
1	bb	XF_PercGlas13.wav	1399657777.46276	1399657777.77596
1	bb	XF_PercGlas08.wav	1399657777.77596	1399657778.08916
1	bb	XF_PercGlas12.wav	1399657778.08916	1399657778.40236
1	bb	XF_PercGlas14.wav	1399657778.40236	1399657778.70556
2	ccc	XF_PercGlas17.wav	1399657782.45997	1399657782.76997
2	ccc	XF_PercGlas16.wav	1399657782.76997	1399657783.07437
2	ccc	XF_PercGlas18.wav	1399657783.07437	1399657783.38877
2	ccc	XF_PercGlas20.wav	1399657783.38877	1399657783.70197
2	ccc	XF_PercGlas15.wav	1399657783.70197	1399657784.01517
2	ccc	XF_PercGlas19.wav	1399657784.01517	1399657784.32837
2	ccc	XF_PercGlas21.wav	1399657784.32837	1399657784.63157
3	dddd	XF_PercGlas26.wav	1399657788.39878	1399657788.70878
3	dddd	XF_PercGlas27.wav	1399657788.70878	1399657789.02198
3	dddd	XF_PercGlas24.wav	1399657789.02198	1399657789.33518
3	dddd	XF_PercGlas25.wav	1399657789.33518	1399657789.64838
3	dddd	XF_PercGlas29.wav	1399657789.64838	1399657789.96158
3	dddd	XF_PercGlas22.wav	1399657789.96158	1399657790.27478
3	dddd	XF_PercGlas23.wav	1399657790.27478	1399657790.58798
3	dddd	XF_PercGlas28.wav	1399657790.58798	1399657790.90118
3	dddd	XF_PercGlas30.wav	1399657790.90118	1399657791.20438
1	bb	XF_PercGlas14.wav	1399657796.91679	1399657797.22679
1	bb	XF_PercGlas09.wav	1399657797.22679	1399657797.53999
1	bb	XF_PercGlas08.wav	1399657797.53999	1399657797.85319
1	bb	XF_PercGlas12.wav	1399657797.85319	1399657798.1664
1	bb	XF_PercGlas10.wav	1399657798.1664	1399657798.4796
1	bb	XF_PercGlas11.wav	1399657798.4796	1399657798.7928
1	bb	XF_PercGlas13.wav	1399657798.7928	1399657799.096
