blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399658372.15979	1399658372.37819	1399658374.75059	None
1	1399658407.89825	1399658408.95905	1399658411.90146	1399658414.76346
2	1399658415.80867	1399658416.86947	1399658419.15787	1399658421.46548
3	1399658426.84749	1399658427.92389	1399658430.23029	1399658460.59754
1	1399658461.65835	1399658462.71915	1399658465.64955	1399658488.31219
2	1399658489.373	1399658490.4338	1399658492.7458	1399658494.2466
3	1399658496.78941	1399658497.86581	1399658500.15421	1399658529.56987
1	1399658530.64627	1399658531.72267	1399658534.00907	1399658564.38753
2	1399658565.43273	1399658566.49353	1399658568.78194	1399658595.79518
3	1399658599.71079	1399658600.11639	1399658603.0624	1399658603.8704
1	1399658604.9468	1399658606.0232	1399658608.3272	1399658609.38481
2	1399658610.44561	1399658611.50641	1399658613.80841	1399658614.73402
3	1399658616.99602	1399658618.05682	1399658620.98963	1399658621.80003
