blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399658374.88059	1399658378.3674	7	1399658378.4766	1399658378.4766	8	1399658378.617	1399658378.617	7
1	1399658412.02146	1399658414.40466	4	1399658414.48266	1399658414.56066	5	1399658414.63866	1399658414.63866	4
2	1399658419.28147	1399658421.18468	4	1399658421.27828	1399658421.29388	5	1399658421.38748	1399658421.40308	4
3	1399658430.34029	None	None	1399658440.42671	None	None	1399658450.51993	None	None
1	1399658465.75955	None	None	1399658475.84677	None	None	1399658485.92539	1399658488.24979	5
2	1399658492.8738	1399658493.7162	4	1399658493.8098	1399658493.997	5	1399658494.0906	1399658494.1842	4
3	1399658500.26421	None	None	1399658510.35063	None	None	1399658520.44385	1399658529.50747	5
1	1399658534.12907	None	None	1399658544.21669	None	None	1399658554.30991	None	None
2	1399658568.91194	None	None	1399658578.99395	None	None	1399658589.08717	1399658595.73278	8
3	1399658603.1724	1399658603.5428	8	1399658603.6364	1399658603.6832	9	1399658603.7768	1399658603.7924	8
1	1399658608.4472	1399658609.08841	8	1399658609.18201	1399658609.21321	9	1399658609.30681	1399658609.32241	8
2	1399658613.91841	1399658614.35962	8	1399658614.45322	1399658614.51562	9	1399658614.60922	1399658614.60922	8
3	1399658621.09963	1399658621.48803	8	1399658621.56603	1399658621.62843	9	1399658621.70643	1399658621.73763	8
