blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas03.wav	1399658372.51859	1399658372.83899
-1	a	XF_PercGlas06.wav	1399658372.83899	1399658373.16779
-1	a	XF_PercGlas04.wav	1399658373.16779	1399658373.49219
-1	a	XF_PercGlas05.wav	1399658373.49219	1399658373.80539
-1	a	XF_PercGlas02.wav	1399658373.80539	1399658374.12419
-1	a	XF_PercGlas07.wav	1399658374.12419	1399658374.43739
-1	a	XF_PercGlas01.wav	1399658374.43739	1399658374.75059
1	dddd	XF_PercGlas26.wav	1399658409.08385	1399658409.39625
1	dddd	XF_PercGlas25.wav	1399658409.39625	1399658409.70945
1	dddd	XF_PercGlas29.wav	1399658409.70945	1399658410.02505
1	dddd	XF_PercGlas28.wav	1399658410.02505	1399658410.33826
1	dddd	XF_PercGlas27.wav	1399658410.33826	1399658410.65386
1	dddd	XF_PercGlas24.wav	1399658410.65386	1399658410.96706
1	dddd	XF_PercGlas23.wav	1399658410.96706	1399658411.28266
1	dddd	XF_PercGlas30.wav	1399658411.28266	1399658411.59826
1	dddd	XF_PercGlas22.wav	1399658411.59826	1399658411.90146
2	bb	XF_PercGlas10.wav	1399658416.97867	1399658417.28867
2	bb	XF_PercGlas13.wav	1399658417.28867	1399658417.60187
2	bb	XF_PercGlas11.wav	1399658417.60187	1399658417.91507
2	bb	XF_PercGlas12.wav	1399658417.91507	1399658418.22827
2	bb	XF_PercGlas09.wav	1399658418.22827	1399658418.54147
2	bb	XF_PercGlas14.wav	1399658418.54147	1399658418.85467
2	bb	XF_PercGlas08.wav	1399658418.85467	1399658419.15787
3	ccc	XF_PercGlas17.wav	1399658428.04869	1399658428.35989
3	ccc	XF_PercGlas20.wav	1399658428.35989	1399658428.67429
3	ccc	XF_PercGlas18.wav	1399658428.67429	1399658428.98749
3	ccc	XF_PercGlas19.wav	1399658428.98749	1399658429.30069
3	ccc	XF_PercGlas16.wav	1399658429.30069	1399658429.61389
3	ccc	XF_PercGlas21.wav	1399658429.61389	1399658429.92709
3	ccc	XF_PercGlas15.wav	1399658429.92709	1399658430.23029
1	dddd	XF_PercGlas28.wav	1399658462.84395	1399658463.15395
1	dddd	XF_PercGlas30.wav	1399658463.15395	1399658463.46715
1	dddd	XF_PercGlas29.wav	1399658463.46715	1399658463.78035
1	dddd	XF_PercGlas23.wav	1399658463.78035	1399658464.09355
1	dddd	XF_PercGlas25.wav	1399658464.09355	1399658464.40675
1	dddd	XF_PercGlas22.wav	1399658464.40675	1399658464.71995
1	dddd	XF_PercGlas27.wav	1399658464.71995	1399658465.03315
1	dddd	XF_PercGlas24.wav	1399658465.03315	1399658465.34635
1	dddd	XF_PercGlas26.wav	1399658465.34635	1399658465.64955
2	ccc	XF_PercGlas20.wav	1399658490.5586	1399658490.873
2	ccc	XF_PercGlas18.wav	1399658490.873	1399658491.1886
2	ccc	XF_PercGlas16.wav	1399658491.1886	1399658491.5018
2	ccc	XF_PercGlas15.wav	1399658491.5018	1399658491.8162
2	ccc	XF_PercGlas21.wav	1399658491.8162	1399658492.1294
2	ccc	XF_PercGlas19.wav	1399658492.1294	1399658492.4426
2	ccc	XF_PercGlas17.wav	1399658492.4426	1399658492.7458
3	bb	XF_PercGlas13.wav	1399658497.97501	1399658498.28501
3	bb	XF_PercGlas11.wav	1399658498.28501	1399658498.59821
3	bb	XF_PercGlas09.wav	1399658498.59821	1399658498.91141
3	bb	XF_PercGlas08.wav	1399658498.91141	1399658499.22461
3	bb	XF_PercGlas14.wav	1399658499.22461	1399658499.53781
3	bb	XF_PercGlas12.wav	1399658499.53781	1399658499.85101
3	bb	XF_PercGlas10.wav	1399658499.85101	1399658500.15421
1	bb	XF_PercGlas11.wav	1399658531.83187	1399658532.14187
1	bb	XF_PercGlas14.wav	1399658532.14187	1399658532.45507
1	bb	XF_PercGlas13.wav	1399658532.45507	1399658532.76827
1	bb	XF_PercGlas10.wav	1399658532.76827	1399658533.08147
1	bb	XF_PercGlas12.wav	1399658533.08147	1399658533.39267
1	bb	XF_PercGlas09.wav	1399658533.39267	1399658533.70587
1	bb	XF_PercGlas08.wav	1399658533.70587	1399658534.00907
2	ccc	XF_PercGlas18.wav	1399658566.60273	1399658566.91273
2	ccc	XF_PercGlas21.wav	1399658566.91273	1399658567.22593
2	ccc	XF_PercGlas20.wav	1399658567.22593	1399658567.53913
2	ccc	XF_PercGlas17.wav	1399658567.53913	1399658567.85233
2	ccc	XF_PercGlas19.wav	1399658567.85233	1399658568.16553
2	ccc	XF_PercGlas16.wav	1399658568.16553	1399658568.47873
2	ccc	XF_PercGlas15.wav	1399658568.47873	1399658568.78194
3	dddd	XF_PercGlas24.wav	1399658600.25679	1399658600.56679
3	dddd	XF_PercGlas30.wav	1399658600.56679	1399658600.87999
3	dddd	XF_PercGlas28.wav	1399658600.87999	1399658601.19319
3	dddd	XF_PercGlas25.wav	1399658601.19319	1399658601.50639
3	dddd	XF_PercGlas29.wav	1399658601.50639	1399658601.81959
3	dddd	XF_PercGlas26.wav	1399658601.81959	1399658602.13279
3	dddd	XF_PercGlas27.wav	1399658602.13279	1399658602.44599
3	dddd	XF_PercGlas23.wav	1399658602.44599	1399658602.75919
3	dddd	XF_PercGlas22.wav	1399658602.75919	1399658603.0624
1	bb	XF_PercGlas08.wav	1399658606.148	1399658606.458
1	bb	XF_PercGlas13.wav	1399658606.458	1399658606.7712
1	bb	XF_PercGlas10.wav	1399658606.7712	1399658607.0844
1	bb	XF_PercGlas11.wav	1399658607.0844	1399658607.3976
1	bb	XF_PercGlas12.wav	1399658607.3976	1399658607.7108
1	bb	XF_PercGlas09.wav	1399658607.7108	1399658608.024
1	bb	XF_PercGlas14.wav	1399658608.024	1399658608.3272
2	ccc	XF_PercGlas15.wav	1399658611.63121	1399658611.94121
2	ccc	XF_PercGlas20.wav	1399658611.94121	1399658612.25241
2	ccc	XF_PercGlas17.wav	1399658612.25241	1399658612.56561
2	ccc	XF_PercGlas18.wav	1399658612.56561	1399658612.87881
2	ccc	XF_PercGlas19.wav	1399658612.87881	1399658613.19201
2	ccc	XF_PercGlas16.wav	1399658613.19201	1399658613.50521
2	ccc	XF_PercGlas21.wav	1399658613.50521	1399658613.80841
3	dddd	XF_PercGlas30.wav	1399658618.18162	1399658618.49402
3	dddd	XF_PercGlas26.wav	1399658618.49402	1399658618.80722
3	dddd	XF_PercGlas22.wav	1399658618.80722	1399658619.12042
3	dddd	XF_PercGlas29.wav	1399658619.12042	1399658619.43362
3	dddd	XF_PercGlas25.wav	1399658619.43362	1399658619.74683
3	dddd	XF_PercGlas28.wav	1399658619.74683	1399658620.06003
3	dddd	XF_PercGlas27.wav	1399658620.06003	1399658620.37323
3	dddd	XF_PercGlas24.wav	1399658620.37323	1399658620.68643
3	dddd	XF_PercGlas23.wav	1399658620.68643	1399658620.98963
