blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399660576.96255	1399660577.13415	1399660579.54175	None
1	1399660588.23577	1399660589.31217	1399660592.23298	1399660593.92498
2	1399660594.92338	1399660595.98418	1399660598.29499	1399660599.50859
3	1399660601.52099	1399660602.58179	1399660604.8806	1399660606.2854
1	1399660607.1122	1399660607.939	1399660610.26981	1399660610.99341
2	1399660611.63301	1399660612.24141	1399660614.55102	1399660615.44222
3	1399660616.42502	1399660617.50142	1399660620.42343	1399660621.12703
1	1399660622.20343	1399660623.27983	1399660625.58824	1399660626.39104
2	1399660627.43624	1399660628.49704	1399660630.78545	1399660631.84665
3	1399660633.67185	1399660634.74825	1399660637.66306	1399660638.73426
1	1399660639.42066	1399660640.49706	1399660642.79107	1399660643.78107
2	1399660644.82987	1399660645.89067	1399660648.82548	1399660649.90668
3	1399660652.12188	1399660653.19828	1399660655.50669	1399660656.22309
