blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399660579.68175	1399660580.99176	7	1399660581.12176	1399660581.13176	8	1399660581.30176	1399660581.30176	7
1	1399660592.36298	1399660593.62858	8	1399660593.73778	1399660593.75338	9	1399660593.84698	1399660593.86258	8
2	1399660598.41499	1399660599.19659	8	1399660599.27459	1399660599.30579	9	1399660599.39939	1399660599.39939	8
3	1399660604.9906	1399660605.9422	8	1399660606.0358	1399660606.0826	9	1399660606.1762	1399660606.1762	8
1	1399660610.37981	1399660610.64981	8	1399660610.73981	1399660610.79981	9	1399660610.88981	1399660610.88981	8
2	1399660614.67782	1399660615.08342	8	1399660615.17702	1399660615.23942	9	1399660615.31742	1399660615.31742	8
3	1399660620.53343	1399660620.78383	8	1399660620.86183	1399660620.92423	9	1399660621.01783	1399660621.01783	8
1	1399660625.70824	1399660626.04784	8	1399660626.14144	1399660626.17264	9	1399660626.26624	1399660626.26624	8
2	1399660630.89545	1399660631.51545	8	1399660631.60545	1399660631.64545	9	1399660631.73545	1399660631.73545	8
3	1399660637.78306	1399660638.34426	9	1399660638.42226	1399660638.45346	8	1399660638.53146	1399660638.65626	9
1	1399660642.90107	1399660643.43107	8	1399660643.52107	1399660643.58107	9	1399660643.67107	1399660643.67107	8
2	1399660648.93548	1399660649.61028	9	1399660649.70388	1399660649.71948	8	1399660649.81308	1399660649.84428	9
3	1399660655.63029	1399660655.92669	9	1399660656.00469	1399660656.03589	8	1399660656.12949	1399660656.16069	9
