blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas07.wav	1399660577.27455	1399660577.59655
-1	a	XF_PercGlas04.wav	1399660577.59655	1399660577.92775
-1	a	XF_PercGlas01.wav	1399660577.92775	1399660578.25655
-1	a	XF_PercGlas02.wav	1399660578.25655	1399660578.58535
-1	a	XF_PercGlas06.wav	1399660578.58535	1399660578.91415
-1	a	XF_PercGlas03.wav	1399660578.91415	1399660579.23295
-1	a	XF_PercGlas05.wav	1399660579.23295	1399660579.54175
1	dddd	XF_PercGlas30.wav	1399660589.42137	1399660589.73257
1	dddd	XF_PercGlas27.wav	1399660589.73257	1399660590.04817
1	dddd	XF_PercGlas26.wav	1399660590.04817	1399660590.36137
1	dddd	XF_PercGlas29.wav	1399660590.36137	1399660590.67457
1	dddd	XF_PercGlas22.wav	1399660590.67457	1399660590.98777
1	dddd	XF_PercGlas23.wav	1399660590.98777	1399660591.30097
1	dddd	XF_PercGlas24.wav	1399660591.30097	1399660591.61417
1	dddd	XF_PercGlas25.wav	1399660591.61417	1399660591.92737
1	dddd	XF_PercGlas28.wav	1399660591.92737	1399660592.23298
2	bb	XF_PercGlas14.wav	1399660596.10898	1399660596.42338
2	bb	XF_PercGlas11.wav	1399660596.42338	1399660596.73658
2	bb	XF_PercGlas08.wav	1399660596.73658	1399660597.04978
2	bb	XF_PercGlas09.wav	1399660597.04978	1399660597.36539
2	bb	XF_PercGlas13.wav	1399660597.36539	1399660597.67859
2	bb	XF_PercGlas10.wav	1399660597.67859	1399660597.99179
2	bb	XF_PercGlas12.wav	1399660597.99179	1399660598.29499
3	ccc	XF_PercGlas21.wav	1399660602.69099	1399660603.001
3	ccc	XF_PercGlas18.wav	1399660603.001	1399660603.3166
3	ccc	XF_PercGlas15.wav	1399660603.3166	1399660603.6298
3	ccc	XF_PercGlas16.wav	1399660603.6298	1399660603.943
3	ccc	XF_PercGlas20.wav	1399660603.943	1399660604.2618
3	ccc	XF_PercGlas17.wav	1399660604.2618	1399660604.5762
3	ccc	XF_PercGlas19.wav	1399660604.5762	1399660604.8806
1	bb	XF_PercGlas09.wav	1399660608.0794	1399660608.38941
1	bb	XF_PercGlas13.wav	1399660608.38941	1399660608.70701
1	bb	XF_PercGlas08.wav	1399660608.70701	1399660609.02021
1	bb	XF_PercGlas11.wav	1399660609.02021	1399660609.33341
1	bb	XF_PercGlas14.wav	1399660609.33341	1399660609.64901
1	bb	XF_PercGlas10.wav	1399660609.64901	1399660609.96661
1	bb	XF_PercGlas12.wav	1399660609.96661	1399660610.26981
2	ccc	XF_PercGlas16.wav	1399660612.36621	1399660612.67621
2	ccc	XF_PercGlas20.wav	1399660612.67621	1399660612.99501
2	ccc	XF_PercGlas15.wav	1399660612.99501	1399660613.30821
2	ccc	XF_PercGlas18.wav	1399660613.30821	1399660613.62141
2	ccc	XF_PercGlas21.wav	1399660613.62141	1399660613.93462
2	ccc	XF_PercGlas17.wav	1399660613.93462	1399660614.24782
2	ccc	XF_PercGlas19.wav	1399660614.24782	1399660614.55102
3	dddd	XF_PercGlas30.wav	1399660617.61062	1399660617.92062
3	dddd	XF_PercGlas23.wav	1399660617.92062	1399660618.23382
3	dddd	XF_PercGlas22.wav	1399660618.23382	1399660618.54942
3	dddd	XF_PercGlas24.wav	1399660618.54942	1399660618.86502
3	dddd	XF_PercGlas29.wav	1399660618.86502	1399660619.17823
3	dddd	XF_PercGlas26.wav	1399660619.17823	1399660619.49383
3	dddd	XF_PercGlas27.wav	1399660619.49383	1399660619.80703
3	dddd	XF_PercGlas25.wav	1399660619.80703	1399660620.12023
3	dddd	XF_PercGlas28.wav	1399660620.12023	1399660620.42343
1	ccc	XF_PercGlas19.wav	1399660623.40463	1399660623.71903
1	ccc	XF_PercGlas16.wav	1399660623.71903	1399660624.03223
1	ccc	XF_PercGlas18.wav	1399660624.03223	1399660624.34543
1	ccc	XF_PercGlas17.wav	1399660624.34543	1399660624.65864
1	ccc	XF_PercGlas15.wav	1399660624.65864	1399660624.97184
1	ccc	XF_PercGlas21.wav	1399660624.97184	1399660625.28504
1	ccc	XF_PercGlas20.wav	1399660625.28504	1399660625.58824
2	bb	XF_PercGlas12.wav	1399660628.60624	1399660628.91624
2	bb	XF_PercGlas09.wav	1399660628.91624	1399660629.22944
2	bb	XF_PercGlas11.wav	1399660629.22944	1399660629.54264
2	bb	XF_PercGlas10.wav	1399660629.54264	1399660629.85584
2	bb	XF_PercGlas08.wav	1399660629.85584	1399660630.16905
2	bb	XF_PercGlas14.wav	1399660630.16905	1399660630.48225
2	bb	XF_PercGlas13.wav	1399660630.48225	1399660630.78545
3	dddd	XF_PercGlas28.wav	1399660634.85745	1399660635.16745
3	dddd	XF_PercGlas22.wav	1399660635.16745	1399660635.48065
3	dddd	XF_PercGlas27.wav	1399660635.48065	1399660635.79385
3	dddd	XF_PercGlas23.wav	1399660635.79385	1399660636.10706
3	dddd	XF_PercGlas26.wav	1399660636.10706	1399660636.42026
3	dddd	XF_PercGlas25.wav	1399660636.42026	1399660636.73346
3	dddd	XF_PercGlas29.wav	1399660636.73346	1399660637.04666
3	dddd	XF_PercGlas30.wav	1399660637.04666	1399660637.35986
3	dddd	XF_PercGlas24.wav	1399660637.35986	1399660637.66306
1	bb	XF_PercGlas13.wav	1399660640.60626	1399660640.91626
1	bb	XF_PercGlas14.wav	1399660640.91626	1399660641.22946
1	bb	XF_PercGlas08.wav	1399660641.22946	1399660641.54266
1	bb	XF_PercGlas12.wav	1399660641.54266	1399660641.86147
1	bb	XF_PercGlas09.wav	1399660641.86147	1399660642.17467
1	bb	XF_PercGlas11.wav	1399660642.17467	1399660642.48787
1	bb	XF_PercGlas10.wav	1399660642.48787	1399660642.79107
2	dddd	XF_PercGlas29.wav	1399660646.01547	1399660646.32987
2	dddd	XF_PercGlas30.wav	1399660646.32987	1399660646.64307
2	dddd	XF_PercGlas28.wav	1399660646.64307	1399660646.95627
2	dddd	XF_PercGlas27.wav	1399660646.95627	1399660647.26947
2	dddd	XF_PercGlas22.wav	1399660647.26947	1399660647.58268
2	dddd	XF_PercGlas25.wav	1399660647.58268	1399660647.89588
2	dddd	XF_PercGlas23.wav	1399660647.89588	1399660648.20908
2	dddd	XF_PercGlas26.wav	1399660648.20908	1399660648.52228
2	dddd	XF_PercGlas24.wav	1399660648.52228	1399660648.82548
3	ccc	XF_PercGlas20.wav	1399660653.32309	1399660653.63309
3	ccc	XF_PercGlas21.wav	1399660653.63309	1399660653.94629
3	ccc	XF_PercGlas15.wav	1399660653.94629	1399660654.25949
3	ccc	XF_PercGlas19.wav	1399660654.25949	1399660654.57269
3	ccc	XF_PercGlas16.wav	1399660654.57269	1399660654.89029
3	ccc	XF_PercGlas18.wav	1399660654.89029	1399660655.20349
3	ccc	XF_PercGlas17.wav	1399660655.20349	1399660655.50669
