blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas04.wav	1399659375.8681	1399659376.18411
-1	a	XF_PercGlas03.wav	1399659376.18411	1399659376.49731
-1	a	XF_PercGlas01.wav	1399659376.49731	1399659376.81051
-1	a	XF_PercGlas05.wav	1399659376.81051	1399659377.12171
-1	a	XF_PercGlas07.wav	1399659377.12171	1399659377.43491
-1	a	XF_PercGlas02.wav	1399659377.43491	1399659377.74811
-1	a	XF_PercGlas06.wav	1399659377.74811	1399659378.05131
1	ccc	XF_PercGlas18.wav	1399659430.6474	1399659430.9754
1	ccc	XF_PercGlas17.wav	1399659430.9754	1399659431.2886
1	ccc	XF_PercGlas15.wav	1399659431.2886	1399659431.6018
1	ccc	XF_PercGlas19.wav	1399659431.6018	1399659431.915
1	ccc	XF_PercGlas21.wav	1399659431.915	1399659432.2262
1	ccc	XF_PercGlas16.wav	1399659432.2262	1399659432.53941
1	ccc	XF_PercGlas20.wav	1399659432.53941	1399659432.84261
2	bb	XF_PercGlas11.wav	1399659475.15148	1399659475.47708
2	bb	XF_PercGlas10.wav	1399659475.47708	1399659475.79388
2	bb	XF_PercGlas08.wav	1399659475.79388	1399659476.10828
2	bb	XF_PercGlas12.wav	1399659476.10828	1399659476.42148
2	bb	XF_PercGlas14.wav	1399659476.42148	1399659476.73468
2	bb	XF_PercGlas09.wav	1399659476.73468	1399659477.04788
2	bb	XF_PercGlas13.wav	1399659477.04788	1399659477.35108
