blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas01.wav	1399643689.11782	1399643689.84582
-1	a	XF_PercGlas07.wav	1399643689.84582	1399643690.57463
-1	a	XF_PercGlas05.wav	1399643690.57463	1399643691.30343
-1	a	XF_PercGlas06.wav	1399643691.30343	1399643692.02783
-1	a	XF_PercGlas03.wav	1399643692.02783	1399643692.75863
-1	a	XF_PercGlas02.wav	1399643692.75863	1399643693.47863
-1	a	XF_PercGlas04.wav	1399643693.47863	1399643694.18303
1	e	XF_PercGlas31.wav	1399643711.57146	1399643712.28706
1	e	XF_PercGlas32.wav	1399643712.28706	1399643713.00546
1	e	XF_PercGlas33.wav	1399643713.00546	1399643713.72227
1	e	XF_PercGlas34.wav	1399643713.72227	1399643714.43227
2	ccc	XF_PercGlas15.wav	1399643724.82189	1399643725.54309
2	ccc	XF_PercGlas21.wav	1399643725.54309	1399643726.27469
2	ccc	XF_PercGlas19.wav	1399643726.27469	1399643726.99349
2	ccc	XF_PercGlas20.wav	1399643726.99349	1399643727.72229
2	ccc	XF_PercGlas17.wav	1399643727.72229	1399643728.45149
2	ccc	XF_PercGlas16.wav	1399643728.45149	1399643729.16709
2	ccc	XF_PercGlas18.wav	1399643729.16709	1399643729.8743
