blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas02.wav	1399655000.43231	1399655001.17351
-1	a	XF_PercGlas06.wav	1399655001.17351	1399655001.89791
-1	a	XF_PercGlas01.wav	1399655001.89791	1399655002.62471
-1	a	XF_PercGlas04.wav	1399655002.62471	1399655003.35152
-1	a	XF_PercGlas03.wav	1399655003.35152	1399655004.07672
-1	a	XF_PercGlas05.wav	1399655004.07672	1399655004.80472
-1	a	XF_PercGlas07.wav	1399655004.80472	1399655005.50912
1	bb	XF_PercGlas09.wav	1399655020.39074	1399655021.11555
1	bb	XF_PercGlas13.wav	1399655021.11555	1399655021.83555
1	bb	XF_PercGlas08.wav	1399655021.83555	1399655022.55755
1	bb	XF_PercGlas11.wav	1399655022.55755	1399655023.27355
1	bb	XF_PercGlas10.wav	1399655023.27355	1399655023.99915
1	bb	XF_PercGlas12.wav	1399655023.99915	1399655024.71915
1	bb	XF_PercGlas14.wav	1399655024.71915	1399655025.42355
2	dddd	XF_PercGlas28.wav	1399655034.60797	1399655035.32997
2	dddd	XF_PercGlas24.wav	1399655035.32997	1399655036.05157
2	dddd	XF_PercGlas22.wav	1399655036.05157	1399655036.77077
2	dddd	XF_PercGlas26.wav	1399655036.77077	1399655037.49237
2	dddd	XF_PercGlas23.wav	1399655037.49237	1399655038.20838
2	dddd	XF_PercGlas29.wav	1399655038.20838	1399655038.93798
2	dddd	XF_PercGlas25.wav	1399655038.93798	1399655039.66438
2	dddd	XF_PercGlas27.wav	1399655039.66438	1399655040.38838
2	dddd	XF_PercGlas30.wav	1399655040.38838	1399655041.10238
3	ccc	XF_PercGlas16.wav	1399655050.1348	1399655050.8528
3	ccc	XF_PercGlas20.wav	1399655050.8528	1399655051.5792
3	ccc	XF_PercGlas15.wav	1399655051.5792	1399655052.3048
3	ccc	XF_PercGlas18.wav	1399655052.3048	1399655053.0264
3	ccc	XF_PercGlas17.wav	1399655053.0264	1399655053.742
3	ccc	XF_PercGlas19.wav	1399655053.742	1399655054.45841
3	ccc	XF_PercGlas21.wav	1399655054.45841	1399655055.15921
