blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	a	XF_PercGlas04.wav	1399655226.56501	1399655227.29101
-1	a	XF_PercGlas01.wav	1399655227.29101	1399655228.01981
-1	a	XF_PercGlas03.wav	1399655228.01981	1399655228.73941
-1	a	XF_PercGlas06.wav	1399655228.73941	1399655229.46741
-1	a	XF_PercGlas02.wav	1399655229.46741	1399655230.19621
-1	a	XF_PercGlas05.wav	1399655230.19621	1399655230.92501
-1	a	XF_PercGlas07.wav	1399655230.92501	1399655231.63381
1	dddd	XF_PercGlas23.wav	1399655289.20271	1399655289.93312
1	dddd	XF_PercGlas29.wav	1399655289.93312	1399655290.65832
1	dddd	XF_PercGlas26.wav	1399655290.65832	1399655291.38312
1	dddd	XF_PercGlas27.wav	1399655291.38312	1399655292.10832
1	dddd	XF_PercGlas24.wav	1399655292.10832	1399655292.83552
1	dddd	XF_PercGlas30.wav	1399655292.83552	1399655293.56392
1	dddd	XF_PercGlas25.wav	1399655293.56392	1399655294.29152
1	dddd	XF_PercGlas22.wav	1399655294.29152	1399655295.01873
1	dddd	XF_PercGlas28.wav	1399655295.01873	1399655295.73033
2	bb	XF_PercGlas11.wav	1399655307.88275	1399655308.60435
2	bb	XF_PercGlas13.wav	1399655308.60435	1399655309.32435
2	bb	XF_PercGlas14.wav	1399655309.32435	1399655310.05315
2	bb	XF_PercGlas09.wav	1399655310.05315	1399655310.78195
2	bb	XF_PercGlas12.wav	1399655310.78195	1399655311.50635
2	bb	XF_PercGlas10.wav	1399655311.50635	1399655312.23076
2	bb	XF_PercGlas08.wav	1399655312.23076	1399655312.94596
3	ccc	XF_PercGlas15.wav	1399655325.80038	1399655326.52158
3	ccc	XF_PercGlas18.wav	1399655326.52158	1399655327.25078
3	ccc	XF_PercGlas17.wav	1399655327.25078	1399655327.96998
3	ccc	XF_PercGlas19.wav	1399655327.96998	1399655328.69958
3	ccc	XF_PercGlas20.wav	1399655328.69958	1399655329.42039
3	ccc	XF_PercGlas21.wav	1399655329.42039	1399655330.14479
3	ccc	XF_PercGlas16.wav	1399655330.14479	1399655330.85239
