blockN	tsInizio	tsFix1	tsFix3	tsRest

-1	1399914177.19573	1399914178.05373	1399914180.42733	None
1	1399914188.44095	1399914189.51735	1399914192.45456	1399914194.75496
1	1399914195.80016	1399914196.87656	1399914198.23897	1399914201.85817
1	1399914204.12018	1399914205.19658	1399914207.49298	1399914209.78739
1	1399914210.84819	1399914211.92459	1399914214.21859	1399914216.321
1	1399914219.2694	1399914220.34581	1399914222.65221	1399914225.07421
1	1399914226.15062	1399914227.22702	1399914230.13182	1399914232.21583
1	1399914233.27663	1399914234.33743	1399914236.64143	1399914238.30144
1	1399914240.27784	1399914241.30744	1399914243.61625	1399914246.37145
1	1399914247.41665	1399914248.47746	1399914250.78146	1399914252.86466
1	1399914255.14227	1399914255.85987	1399914257.20347	1399914260.44228
1	1399914261.50308	1399914262.57948	1399914264.86788	1399914267.38789
1	1399914268.43309	1399914269.50949	1399914271.7891	1399914273.3499
1	1399914276.5323	1399914277.60871	1399914280.53911	1399914282.54751
1	1399914283.60832	1399914284.66912	1399914286.95752	1399914288.65713
1	1399914292.93153	1399914294.00793	1399914295.35154	1399914297.92554
1	1399914298.98634	1399914300.06275	1399914302.35115	1399914303.87875
1	1399914304.93955	1399914306.01596	1399914307.36396	1399914309.22036
1	1399914312.01277	1399914313.07357	1399914315.37757	1399914317.26398
1	1399914318.32478	1399914319.38558	1399914321.69678	1399914324.26479
1	1399914328.8668 	1399914329.9432 	1399914332.858  	1399914333.69401
