blockN	tsShow	tsInput	value	tsShow	tsInput	value	tsShow	tsInput	value

-1	1399914180.55733	1399914182.06054	1	1399914182.21654	1399914182.60654	2	1399914182.73134	1399914185.94494	2
1	1399914192.56456	1399914193.67856	3	1399914193.75656	1399914194.20896	4	1399914194.30256	1399914194.67696	4
1	1399914198.36377	1399914200.82857	5	1399914200.92217	1399914201.40577	6	1399914201.49937	1399914201.78017	6
1	1399914207.60298	1399914208.74219	6	1399914208.83579	1399914209.33499	7	1399914209.42859	1399914209.70939	7
1	1399914214.33979	1399914215.307  	8	1399914215.4006 	1399914215.7906 	8	1399914215.8842 	1399914216.243  	9
1	1399914222.76221	1399914224.32541	9	1399914224.41901	1399914224.71541	8	1399914224.82461	1399914225.01181	8
1	1399914230.24182	1399914231.23302	7	1399914231.32662	1399914231.70103	6	1399914231.79463	1399914232.13783	6
1	1399914236.75143	1399914237.24144	5	1399914237.33144	1399914237.77144	4	1399914237.86144	1399914238.23144	4
1	1399914243.73625	1399914244.54625	3	1399914244.63985	1399914245.49785	2	1399914245.59145	1399914246.29345	2
1	1399914250.89146	1399914251.74146	1	1399914251.83506	1399914252.24066	2	1399914252.33426	1399914252.78666	2
1	1399914257.32347	1399914259.58427	3	1399914259.67787	1399914260.00548	4	1399914260.09908	1399914260.36428	4
1	1399914264.97788	1399914266.28789	5	1399914266.37789	1399914266.92789	6	1399914267.02909	1399914267.30989	6
1	1399914271.8991 	1399914272.4295 	7	1399914272.5231 	1399914272.8819 	8	1399914272.9755 	1399914273.2875  	8
1	1399914280.64911	1399914281.36191	8	1399914281.45551	1399914282.11071	9	1399914282.20431	1399914282.48511	9
1	1399914287.06752	1399914287.61752	9	1399914287.70552	1399914288.26712	8	1399914288.36072	1399914288.57912	8
1	1399914295.47634	1399914297.05194	7	1399914297.14554	1399914297.53554	6	1399914297.62914	1399914297.84754	6
1	1399914302.47475	1399914303.03635	6	1399914303.12995	1399914303.53555	5	1399914303.62915	1399914303.81635	5
1	1399914307.48876	1399914308.14396	5	1399914308.23756	1399914308.81476	4	1399914308.90836	1399914309.14236	4
1	1399914315.48757	1399914316.46837	3	1399914316.56197	1399914316.90517	2	1399914316.99878	1399914317.18598	2
1	1399914321.80678	1399914323.85919	5	1399914323.95279	1399914324.01519	4	1399914324.10879	1399914324.20239	5
1	1399914332.968  	1399914333.2884 	3	1399914333.382  	1399914333.46   	4	1399914333.5536 	1399914333.61601	3
