blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	alfioA	04.wav	1399990274.68971	1399990275.04731
-1	alfioA	05.wav	1399990275.04731	1399990275.38051
-1	alfioA	02.wav	1399990275.38051	1399990275.70372
-1	alfioA	06.wav	1399990275.70372	1399990276.03692
-1	alfioA	07.wav	1399990276.03692	1399990276.36012
-1	alfioA	03.wav	1399990276.36012	1399990276.69332
-1	alfioA	01.wav	1399990276.69332	1399990277.01652
1	alfioB	14.wav	1399990286.27813	1399990286.60373
1	alfioB	08.wav	1399990286.60373	1399990286.92693
1	alfioB	09.wav	1399990286.92693	1399990287.26134
1	alfioB	10.wav	1399990287.26134	1399990287.58454
1	alfioB	11.wav	1399990287.58454	1399990287.90774
1	alfioB	15.wav	1399990287.90774	1399990288.22094
1	alfioB	13.wav	1399990288.22094	1399990288.52414
1	gigioD	32.wav	1399990292.90135	1399990293.24255
1	gigioD	34.wav	1399990293.24255	1399990293.59135
1	gigioD	31.wav	1399990293.59135	1399990293.93255
1	gigioD	33.wav	1399990293.93255	1399990294.25935
1	gigioC	20.wav	1399990308.79857	1399990309.13977
1	gigioC	15.wav	1399990309.13977	1399990309.47297
1	gigioC	16.wav	1399990309.47297	1399990309.80617
1	gigioC	17.wav	1399990309.80617	1399990310.13058
1	gigioC	18.wav	1399990310.13058	1399990310.46058
1	gigioC	21.wav	1399990310.46058	1399990310.79378
1	gigioC	19.wav	1399990310.79378	1399990311.11698
1	alfioA	07.wav	1399990314.91418	1399990315.22658
1	alfioA	01.wav	1399990315.22658	1399990315.53979
1	alfioA	04.wav	1399990315.53979	1399990315.85299
1	alfioA	05.wav	1399990315.85299	1399990316.16619
1	alfioA	03.wav	1399990316.16619	1399990316.48179
1	alfioA	06.wav	1399990316.48179	1399990316.79499
1	alfioA	02.wav	1399990316.79499	1399990317.09819
1	dddd	22.wav	1399990327.97261	1399990328.31821
1	dddd	24.wav	1399990328.31821	1399990328.66141
1	dddd	29.wav	1399990328.66141	1399990328.99461
1	dddd	25.wav	1399990328.99461	1399990329.32781
1	dddd	27.wav	1399990329.32781	1399990329.64101
1	dddd	28.wav	1399990329.64101	1399990329.97421
1	dddd	23.wav	1399990329.97421	1399990330.30741
1	dddd	30.wav	1399990330.30741	1399990330.62061
1	dddd	26.wav	1399990330.62061	1399990330.92381
1	alfioB	08.wav	1399990333.88142	1399990334.19582
1	alfioB	14.wav	1399990334.19582	1399990334.51462
1	alfioB	15.wav	1399990334.51462	1399990334.82782
1	alfioB	09.wav	1399990334.82782	1399990335.14102
1	alfioB	11.wav	1399990335.14102	1399990335.45422
1	alfioB	13.wav	1399990335.45422	1399990335.76742
1	alfioB	10.wav	1399990335.76742	1399990336.07062
1	gigioD	32.wav	1399990340.18303	1399990340.49303
1	gigioD	33.wav	1399990340.49303	1399990340.80183
1	gigioD	34.wav	1399990340.80183	1399990341.10743
1	gigioD	31.wav	1399990341.10743	1399990341.40743
1	alfioA	01.wav	1399990346.14984	1399990346.45984
1	alfioA	07.wav	1399990346.45984	1399990346.77304
1	alfioA	06.wav	1399990346.77304	1399990347.08624
