blockN	sndPath	sndName	tsPlay	tsFixAndLoop

-1	alfioA	07.wav	1399993640.37682	1399993640.70642
-1	alfioA	01.wav	1399993640.70642	1399993641.01962
-1	alfioA	05.wav	1399993641.01962	1399993641.33282
-1	alfioA	04.wav	1399993641.33282	1399993641.64602
-1	alfioA	02.wav	1399993641.64602	1399993641.95923
-1	alfioA	06.wav	1399993641.95923	1399993642.27243
-1	alfioA	03.wav	1399993642.27243	1399993642.57563
1	gigioD	32.wav	1399993657.92685	1399993658.23925
1	gigioD	30.wav	1399993658.23925	1399993658.55246
1	gigioD	33.wav	1399993658.55246	1399993658.86566
1	gigioD	29.wav	1399993658.86566	1399993659.17886
1	gigioD	33b.wav	1399993659.17886	1399993659.49206
1	gigioD	31.wav	1399993659.49206	1399993659.80526
1	gigioD	34.wav	1399993659.80526	1399993660.10846
1	alfioA	04.wav	1399993665.94167	1399993666.25727
1	alfioA	02.wav	1399993666.25727	1399993666.57287
1	alfioA	05.wav	1399993666.57287	1399993666.88607
1	alfioA	01.wav	1399993666.88607	1399993667.19927
1	alfioA	06.wav	1399993667.19927	1399993667.51247
1	alfioA	03.wav	1399993667.51247	1399993667.82567
1	alfioA	07.wav	1399993667.82567	1399993668.12887
1	alfioB	11.wav	1399993676.11889	1399993676.43329
1	alfioB	09.wav	1399993676.43329	1399993676.74889
1	alfioB	13.wav	1399993676.74889	1399993677.06209
1	alfioB	08.wav	1399993677.06209	1399993677.37529
1	alfioB	14.wav	1399993677.37529	1399993677.68849
1	alfioB	10.wav	1399993677.68849	1399993678.00169
1	alfioB	15.wav	1399993678.00169	1399993678.30729
1	dddd	25.wav	1399993683.1237	1399993683.4361
1	dddd	23.wav	1399993683.4361	1399993683.7493
1	dddd	26.wav	1399993683.7493	1399993684.0625
1	dddd	22.wav	1399993684.0625	1399993684.3757
1	dddd	27.wav	1399993684.3757	1399993684.6889
1	dddd	24.wav	1399993684.6889	1399993685.0021
1	dddd	28.wav	1399993685.0021	1399993685.3077
1	gigioC	18.wav	1399993700.26973	1399993700.57973
1	gigioC	16.wav	1399993700.57973	1399993700.88293
1	gigioC	19.wav	1399993700.88293	1399993701.19733
1	gigioC	15.wav	1399993701.19733	1399993701.51053
1	gigioC	20.wav	1399993701.51053	1399993701.82373
1	gigioC	17.wav	1399993701.82373	1399993702.13693
1	gigioC	21.wav	1399993702.13693	1399993702.44013
1	gigioD	29.wav	1399993707.21774	1399993707.53214
1	gigioD	32.wav	1399993707.53214	1399993707.84534
1	gigioD	30.wav	1399993707.84534	1399993708.15854
1	gigioD	34.wav	1399993708.15854	1399993708.47174
1	gigioD	33.wav	1399993708.47174	1399993708.78294
1	gigioD	33b.wav	1399993708.78294	1399993709.08975
1	gigioD	31.wav	1399993709.08975	1399993709.38975
1	dddd	22.wav	1399993712.89975	1399993713.22975
1	dddd	25.wav	1399993713.22975	1399993713.54295
1	dddd	23.wav	1399993713.54295	1399993713.85615
1	dddd	28.wav	1399993713.85615	1399993714.16935
1	dddd	26.wav	1399993714.16935	1399993714.48256
1	dddd	27.wav	1399993714.48256	1399993714.79576
1	dddd	24.wav	1399993714.79576	1399993715.09896
1	alfioA	01.wav	1399993724.86617	1399993725.17617
1	alfioA	04.wav	1399993725.17617	1399993725.48937
1	alfioA	02.wav	1399993725.48937	1399993725.80257
1	alfioA	07.wav	1399993725.80257	1399993726.11578
1	alfioA	05.wav	1399993726.11578	1399993726.42898
1	alfioA	06.wav	1399993726.42898	1399993726.74218
1	alfioA	03.wav	1399993726.74218	1399993727.04538
1	alfioB	08.wav	1399993731.35058	1399993731.66299
1	alfioB	11.wav	1399993731.66299	1399993731.97619
1	alfioB	09.wav	1399993731.97619	1399993732.28939
1	alfioB	15.wav	1399993732.28939	1399993732.60259
1	alfioB	13.wav	1399993732.60259	1399993732.91579
1	alfioB	14.wav	1399993732.91579	1399993733.23339
1	alfioB	10.wav	1399993733.23339	1399993733.53659
1	gigioC	15.wav	1399993739.6994	1399993740.0138
1	gigioC	18.wav	1399993740.0138	1399993740.327
1	gigioC	16.wav	1399993740.327	1399993740.6402
1	gigioC	21.wav	1399993740.6402	1399993740.9534
1	gigioC	19.wav	1399993740.9534	1399993741.2666
1	gigioC	20.wav	1399993741.2666	1399993741.5798
1	gigioC	17.wav	1399993741.5798	1399993741.8854
1	alfioA	06.wav	1399993747.56381	1399993747.87381
1	alfioA	02.wav	1399993747.87381	1399993748.18701
1	alfioA	03.wav	1399993748.18701	1399993748.50022
1	alfioA	01.wav	1399993748.50022	1399993748.81342
1	alfioA	07.wav	1399993748.81342	1399993749.12662
1	alfioA	04.wav	1399993749.12662	1399993749.43982
1	alfioA	05.wav	1399993749.43982	1399993749.74302
1	gigioD	33b.wav	1399993754.51303	1399993754.82543
1	gigioD	30.wav	1399993754.82543	1399993755.13983
1	gigioD	31.wav	1399993755.13983	1399993755.45303
1	gigioD	29.wav	1399993755.45303	1399993755.76623
1	gigioD	34.wav	1399993755.76623	1399993756.07943
1	gigioD	32.wav	1399993756.07943	1399993756.39263
1	gigioD	33.wav	1399993756.39263	1399993756.70383
1	gigioC	20.wav	1399993763.58344	1399993763.89344
1	gigioC	16.wav	1399993763.89344	1399993764.20664
1	gigioC	17.wav	1399993764.20664	1399993764.51984
1	gigioC	15.wav	1399993764.51984	1399993764.83864
1	gigioC	21.wav	1399993764.83864	1399993765.15184
1	gigioC	18.wav	1399993765.15184	1399993765.46504
1	gigioC	19.wav	1399993765.46504	1399993765.76825
1	dddd	27.wav	1399993768.31625	1399993768.64185
1	dddd	23.wav	1399993768.64185	1399993768.95505
1	dddd	24.wav	1399993768.95505	1399993769.26825
1	dddd	22.wav	1399993769.26825	1399993769.61385
1	dddd	28.wav	1399993769.61385	1399993769.92705
1	dddd	25.wav	1399993769.92705	1399993770.24025
1	dddd	26.wav	1399993770.24025	1399993770.54345
1	alfioB	14.wav	1399993772.71226	1399993773.02226
1	alfioB	09.wav	1399993773.02226	1399993773.33546
1	alfioB	10.wav	1399993773.33546	1399993773.65306
1	alfioB	08.wav	1399993773.65306	1399993773.96626
1	alfioB	15.wav	1399993773.96626	1399993774.28186
1	alfioB	11.wav	1399993774.28186	1399993774.59506
1	alfioB	13.wav	1399993774.59506	1399993774.89826
1	alfioA	06.wav	1399993776.66587	1399993776.98027
1	alfioA	02.wav	1399993776.98027	1399993777.29587
1	alfioA	04.wav	1399993777.29587	1399993777.60907
1	alfioA	01.wav	1399993777.60907	1399993777.92227
1	alfioA	05.wav	1399993777.92227	1399993778.23547
1	alfioA	07.wav	1399993778.23547	1399993778.54867
1	alfioA	03.wav	1399993778.54867	1399993778.85187
1	gigioC	20.wav	1399993780.86947	1399993781.17947
1	gigioC	16.wav	1399993781.17947	1399993781.49267
1	gigioC	18.wav	1399993781.49267	1399993781.80587
1	gigioC	15.wav	1399993781.80587	1399993782.11908
1	gigioC	19.wav	1399993782.11908	1399993782.43228
1	gigioC	21.wav	1399993782.43228	1399993782.74548
1	gigioC	17.wav	1399993782.74548	1399993783.04868
1	alfioB	14.wav	1399993788.65429	1399993788.96869
1	alfioB	09.wav	1399993788.96869	1399993789.28189
1	alfioB	11.wav	1399993789.28189	1399993789.59749
1	alfioB	08.wav	1399993789.59749	1399993789.91069
1	alfioB	13.wav	1399993789.91069	1399993790.22389
1	alfioB	15.wav	1399993790.22389	1399993790.53709
1	alfioB	10.wav	1399993790.53709	1399993790.84029
1	dddd	27.wav	1399993792.99389	1399993793.3083
1	dddd	23.wav	1399993793.3083	1399993793.6215
1	dddd	25.wav	1399993793.6215	1399993793.9347
1	dddd	22.wav	1399993793.9347	1399993794.2479
1	dddd	26.wav	1399993794.2479	1399993794.5611
1	dddd	28.wav	1399993794.5611	1399993794.8743
1	dddd	24.wav	1399993794.8743	1399993795.1775
1	gigioD	33b.wav	1399993797.8099	1399993798.1123
1	gigioD	30.wav	1399993798.1123	1399993798.4267
1	gigioD	32.wav	1399993798.4267	1399993798.7399
1	gigioD	29.wav	1399993798.7399	1399993799.05311
1	gigioD	33.wav	1399993799.05311	1399993799.36631
1	gigioD	34.wav	1399993799.36631	1399993799.67191
1	gigioD	31.wav	1399993799.67191	1399993799.97311
